Address,Bathrooms,Beds,tax,post_code,type,rooms,Price
"25 GOODWIN Avenue, ",4,4,7706,"Ottawa, ON, K2G 5M9",House,2,1390000
"1393 Michael St, ",4,4,3332,"Ottawa, ON, K1C 2J4",House,13,799900
"95 BRONSON Avenue 205, ",2,2,3134,"Ottawa, ON, K1R 7W9",House,1,559900
"470 LAURIER AVENUE W UNIT#306, ",2,2,2796,"Ottawa, ON, K1J 1K5",Condo,10,425000
"107 GATESTONE Private, ",2,2,1886,"Ottawa, ON, K1C 4P1",House,1,450000
"6470 BILBERRY DRIVE UNIT#409, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,309900
"1303 VANCOUVER AVENUE, ",2,5,2300,"Ottawa, ON, K1J 8T9",Condo,11,799900
"1339 PEREZ Crescent, ",2,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,379900
"488 BRISTON Private, ",2,2,6238,"Ottawa, ON, K2E 7R2",House,20,425000
"78 SHADETREE Crescent, ",4,4,7003,"Ottawa, ON, K2P 2N7",House,2,995000
"11 OBLATS Avenue 405, ",2,2,7706,"Ottawa, ON, K2G 5M9",House,2,685000
"18 NEPEAN Street 1202, ",2,2,4117,"Ottawa, ON, K1R 1E2",Condo,8,4e+05
"1427 PALMERSTON DRIVE UNIT#203, ",2,3,3134,"Ottawa, ON, K1R 7W9",House,1,479900
"127 BEAVER RIDGE, ",2,2,2796,"Ottawa, ON, K1J 1K5",Condo,10,899900
"18 BRISTON PRIVATE, ",2,2,1886,"Ottawa, ON, K1C 4P1",House,1,425000
"201 PARKDALE AVENUE UNIT#907, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,495000
"48 GREENBORO Crescent, ",2,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,674900
"1654 NORDIC Way, ",2,3,6238,"Ottawa, ON, K2E 7R2",House,20,662000
"1285 CAHILL DRIVE UNIT#1105, ",2,3,7003,"Ottawa, ON, K2P 2N7",House,2,375000
"15 MONKLAND AVENUE, ",4,5,4117,"Ottawa, ON, K1R 1E2",Condo,8,2695000
"912 FAIRLAWN AVENUE, ",3,3,3134,"Ottawa, ON, K1R 7W9",House,1,788000
"485 RICHMOND ROAD UNIT#1109, ",1,1,2796,"Ottawa, ON, K1J 1K5",Condo,10,449000
"2625 REGINA STREET UNIT#1208, ",1,3,1886,"Ottawa, ON, K1C 4P1",House,1,399990
"95 BRONSON AVENUE UNIT#205, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,559900
"1285 CAHILL DRIVE UNIT#1105, ",2,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,375000
"1427 PALMERSTON DRIVE UNIT#203, ",2,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,479900
"201 PARKDALE AVENUE UNIT#907, ",2,2,6238,"Ottawa, ON, K2E 7R2",House,20,495000
"468 SANDHAMN PRIVATE, ",3,4,7003,"Ottawa, ON, K2P 2N7",House,2,519000
"3535 ST JOSEPH BOULEVARD UNIT#77, ",1,3,7706,"Ottawa, ON, K2G 5M9",House,2,99900
"6470 BILBERRY DRIVE UNIT#409, ",2,2,3332,"Ottawa, ON, K1C 2J4",House,13,309900
"3381 CLEARWATER Crescent, ",4,4,4117,"Ottawa, ON, K1R 1E2",Condo,8,879000
"355 HOLLAND AVENUE, ",1,3,3134,"Ottawa, ON, K1R 7W9",House,1,699900
"935 FALAISE ROAD, ",4,5,2796,"Ottawa, ON, K1J 1K5",Condo,10,1498000
"238 BESSERER STREET UNIT#1103, ",1,1,1886,"Ottawa, ON, K1C 4P1",House,1,445000
"383 CUMBERLAND Street 803, ",1,2,2300,"Ottawa, ON, K1J 8T9",Condo,11,529000
"4 SHERBROOKE AVENUE UNIT#8, ",1,2,2283,"Ottawa, ON, K1G 5R5",Condo,8,635000
"530 Laurier Ave W 404, ",1,2,4117,"Ottawa, ON, K1R 1E2",Condo,8,368000
"628 MELBOURNE AVENUE, ",4,4,2796,"Ottawa, ON, K1J 1K5",Condo,10,1749000
"211 SANFORD AVENUE, ",2,2,1886,"Ottawa, ON, K1C 4P1",House,1,749900
"2625 REGINA STREET UNIT#1208, ",1,3,4296,"Ottawa, ON, K1V 6T8",House,2,399990
"40 PRINCE ALBERT STREET UNIT#A, ",4,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,897000
"1885 JUNO AVENUE, ",3,4,2283,"Ottawa, ON, K1G 5R5",Condo,8,749900
"140 PRINCE ALBERT STREET, ",1,3,7003,"Ottawa, ON, K2P 2N7",House,2,619900
"1285 CAHILL DRIVE UNIT#1105, ",2,3,3332,"Ottawa, ON, K1C 2J4",House,13,375000
"468 SANDHAMN PRIVATE, ",3,4,4117,"Ottawa, ON, K1R 1E2",Condo,8,519000
"2117 VALLEY DRIVE, ",2,4,2796,"Ottawa, ON, K1J 1K5",Condo,10,699900
"3535 ST JOSEPH BOULEVARD UNIT#77, ",1,3,1886,"Ottawa, ON, K1C 4P1",House,1,99900
"485 RICHMOND ROAD UNIT#1109, ",1,1,4296,"Ottawa, ON, K1V 6T8",House,2,449000
"488 BRISTON PRIVATE, ",2,2,2300,"Ottawa, ON, K1J 8T9",Condo,11,425000
"422 BYRON STREET, ",3,5,2283,"Ottawa, ON, K1G 5R5",Condo,8,2999998
